,AAPL,MSFT,GOOGL,NVDA,JPM,BAC,GS,JNJ,UNH,PFE,AMZN,WMT,PG,XOM,CVX
AAPL,1.0,0.5838102446605682,0.543177203238695,0.4943129310330354,0.3314647144795176,0.33653886355713303,0.38217802276901935,0.13622208215486223,0.10291736922253569,0.19600365855952834,0.5409239922094646,0.26239139891519664,0.23790860196489913,0.1548991413204457,0.1979216438144926
MSFT,0.5838102446605682,1.0,0.5745208788852658,0.5877056455453775,0.27499422830843495,0.2714501249161788,0.3261711446139423,0.03901260104096922,0.13020257976404923,0.13272383633299026,0.6192754214843688,0.18676019272315733,0.1504659769971482,0.05392201545712928,0.11531871024669137
GOOGL,0.543177203238695,0.5745208788852658,1.0,0.5082868861998074,0.3119406463305907,0.3036307000238356,0.37052496482896957,0.06113416329699968,0.11126131034679534,0.10934981654438744,0.6133375409900228,0.1801046107982186,0.11920477542050979,0.07111986082445637,0.12533950295034796
NVDA,0.4943129310330354,0.5877056455453775,0.5082868861998074,1.0,0.3020250948100408,0.2655697194084391,0.3886545663794748,-0.10545511817449367,0.058985674071197085,0.027319257610810267,0.5373584470015941,0.10324101433577873,-0.01103865405161765,0.061895010656373026,0.11442442272542672
JPM,0.3314647144795176,0.27499422830843495,0.3119406463305907,0.3020250948100408,1.0,0.8126401542160299,0.7564178823953771,0.1762829311580861,0.1719738468004906,0.18628826487797906,0.32894561213420903,0.19423899205654913,0.16831674011104789,0.31244607034934024,0.35425626335720173
BAC,0.33653886355713303,0.2714501249161788,0.3036307000238356,0.2655697194084391,0.8126401542160299,1.0,0.7346079087643784,0.15311656064493673,0.16068341388753318,0.1807419568487049,0.3315602931827383,0.1992380423890933,0.16774162889013444,0.3519881050530606,0.3880954767826086
GS,0.38217802276901935,0.3261711446139423,0.37052496482896957,0.3886545663794748,0.7564178823953771,0.7346079087643784,1.0,0.10828702031006224,0.13282950118398296,0.17389223842676746,0.38917112827100603,0.18116996692923534,0.08524844142427979,0.2826354979326501,0.3184028574518248
JNJ,0.13622208215486223,0.03901260104096922,0.06113416329699968,-0.10545511817449367,0.1762829311580861,0.15311656064493673,0.10828702031006224,1.0,0.21095312765223037,0.40872565697172236,0.0007044456956455706,0.2522476707679241,0.4498526321632959,0.12959638159170173,0.15107462551161788
UNH,0.10291736922253569,0.13020257976404923,0.11126131034679534,0.058985674071197085,0.1719738468004906,0.16068341388753318,0.13282950118398296,0.21095312765223037,1.0,0.16117725997787485,0.08209134622240018,0.13065189238214717,0.20686858244520537,0.08605615534957003,0.12022183487405044
PFE,0.19600365855952834,0.13272383633299026,0.10934981654438744,0.027319257610810267,0.18628826487797906,0.1807419568487049,0.17389223842676746,0.40872565697172236,0.16117725997787485,1.0,0.10480748279065576,0.13878918331395465,0.26625861290991926,0.12200547058110471,0.16028001048949522
AMZN,0.5409239922094646,0.6192754214843688,0.6133375409900228,0.5373584470015941,0.32894561213420903,0.3315602931827383,0.38917112827100603,0.0007044456956455706,0.08209134622240018,0.10480748279065576,1.0,0.207645977811189,0.08950394399720617,0.07866113632263867,0.13643573871395967
WMT,0.26239139891519664,0.18676019272315733,0.1801046107982186,0.10324101433577873,0.19423899205654913,0.1992380423890933,0.18116996692923534,0.2522476707679241,0.13065189238214717,0.13878918331395465,0.207645977811189,1.0,0.3575479509328808,0.12388520058884525,0.13822501820399996
PG,0.23790860196489913,0.1504659769971482,0.11920477542050979,-0.01103865405161765,0.16831674011104789,0.16774162889013444,0.08524844142427979,0.4498526321632959,0.20686858244520537,0.26625861290991926,0.08950394399720617,0.3575479509328808,1.0,0.05460154222137333,0.04524848972510581
XOM,0.1548991413204457,0.05392201545712928,0.07111986082445637,0.061895010656373026,0.31244607034934024,0.3519881050530606,0.2826354979326501,0.12959638159170173,0.08605615534957003,0.12200547058110471,0.07866113632263867,0.12388520058884525,0.05460154222137333,1.0,0.8555762323448194
CVX,0.1979216438144926,0.11531871024669137,0.12533950295034796,0.11442442272542672,0.35425626335720173,0.3880954767826086,0.3184028574518248,0.15107462551161788,0.12022183487405044,0.16028001048949522,0.13643573871395967,0.13822501820399996,0.04524848972510581,0.8555762323448194,1.0
