Ticker,RowsBefore,RowsAfter,DroppedBadPrice,MaxConsecutiveGap,DateMin,DateMax
AAPL,1390,1390,0,0,2021-01-04,2026-07-17
MSFT,1390,1390,0,0,2021-01-04,2026-07-17
GOOGL,1390,1390,0,0,2021-01-04,2026-07-17
NVDA,1390,1390,0,0,2021-01-04,2026-07-17
JPM,1390,1390,0,0,2021-01-04,2026-07-17
BAC,1390,1390,0,0,2021-01-04,2026-07-17
GS,1390,1390,0,0,2021-01-04,2026-07-17
JNJ,1390,1390,0,0,2021-01-04,2026-07-17
UNH,1390,1390,0,0,2021-01-04,2026-07-17
PFE,1390,1390,0,0,2021-01-04,2026-07-17
AMZN,1390,1390,0,0,2021-01-04,2026-07-17
WMT,1390,1390,0,0,2021-01-04,2026-07-17
PG,1390,1390,0,0,2021-01-04,2026-07-17
XOM,1390,1390,0,0,2021-01-04,2026-07-17
CVX,1390,1390,0,0,2021-01-04,2026-07-17
^GSPC,1390,1390,0,0,2021-01-04,2026-07-17
